page,date,count
Spécial:Connexion_fr,2015-07-01,12594
Java_(programming_language)_en,2015-07-01,3941
Lali_Espósito_en,2015-07-01,115
Spécial:Connexion_fr,2015-07-01,21273
Barack_Obama_en,2015-07-01,28422
Deadpool_(film)_en,2015-07-01,5759
Facebook_en,2015-07-01,51099
Game_of_Thrones_en,2015-07-01,42619
List_of_Bollywood_films_of_2016_en,2015-07-01,1841
Muhammad_Ali_en,2015-07-01,11798
Portal:Current_events_en,2015-07-01,46129
Suicide_Squad_(film)_en,2015-07-01,19640
United_States_en,2015-07-01,47382
Batman_v_Superman:_Dawn_of_Justice_en,2015-07-01,16344
Captain_America:_Civil_War_en,2015-07-01,18046
David_Bowie_en,2015-07-01,7251
Google_en,2015-07-01,48736
Islamic_State_of_Iraq_and_the_Levant_en,2015-07-01,52658
Java_(programming_language)_en,2015-07-01,5450
Prince_(musician)_en,2015-07-01,9529
Star_Wars_en,2015-07-01,13636
"United_States_presidential_election,_2016_en",2015-07-01,20280
Elizabeth_II_en,2015-07-01,17833
Hillary_Clinton_en,2015-07-01,11410
The_Revenant_(2015_film)_en,2015-07-01,4448
Melania_Trump_en,2015-07-01,16143
Lali_Espósito_en,2015-07-01,196
Wikipedia:Hauptseite_de,2015-07-01,1452
Hauptseite_de,2015-07-01,67598
Spezial:Buch_de,2015-07-01,33663
Spezial:Weblinksuche_de,2015-07-01,23530
Spezial:Beobachtungsliste_de,2015-07-01,34528
Especial:Entrar_es,2015-07-01,37396
Lali_Espósito_es,2015-07-01,850
Pablo_Escobar_en,2015-07-01,7035
Especial:Libro_es,2015-07-01,28323
Служебная:Ссылки_сюда_ru,2015-07-01,162308
Служебная:Ссылки_сюда_ru,2015-07-01,162288
Spezial:Buch_de,2015-07-01,33694
Spezial:Weblinksuche_de,2015-07-01,23532
Spezial:Beobachtungsliste_de,2015-07-01,34858
Spécial:Connexion_fr,2015-07-02,12156
Java_(programming_language)_en,2015-07-02,4095
Lali_Espósito_en,2015-07-02,93
Spécial:Connexion_fr,2015-07-02,16628
Barack_Obama_en,2015-07-02,26087
Deadpool_(film)_en,2015-07-02,8907
Facebook_en,2015-07-02,99466
Game_of_Thrones_en,2015-07-02,40759
List_of_Bollywood_films_of_2016_en,2015-07-02,1947
Muhammad_Ali_en,2015-07-02,10531
Portal:Current_events_en,2015-07-02,49704
Suicide_Squad_(film)_en,2015-07-02,17077
United_States_en,2015-07-02,46071
Batman_v_Superman:_Dawn_of_Justice_en,2015-07-02,22610
Captain_America:_Civil_War_en,2015-07-02,16965
David_Bowie_en,2015-07-02,7545
Google_en,2015-07-02,47986
Islamic_State_of_Iraq_and_the_Levant_en,2015-07-02,46749
Java_(programming_language)_en,2015-07-02,5781
Prince_(musician)_en,2015-07-02,13627
Star_Wars_en,2015-07-02,13901
"United_States_presidential_election,_2016_en",2015-07-02,22827
Elizabeth_II_en,2015-07-02,16688
Hillary_Clinton_en,2015-07-02,10606
The_Revenant_(2015_film)_en,2015-07-02,4168
Melania_Trump_en,2015-07-02,16625
Lali_Espósito_en,2015-07-02,164
Wikipedia:Hauptseite_de,2015-07-02,1023
Hauptseite_de,2015-07-02,59104
Spezial:Buch_de,2015-07-02,27026
Spezial:Weblinksuche_de,2015-07-02,57908
Spezial:Beobachtungsliste_de,2015-07-02,34872
Especial:Entrar_es,2015-07-02,41388
Lali_Espósito_es,2015-07-02,905
Pablo_Escobar_en,2015-07-02,13201
Especial:Libro_es,2015-07-02,32273
Служебная:Ссылки_сюда_ru,2015-07-02,164565
Служебная:Ссылки_сюда_ru,2015-07-02,164527
Spezial:Buch_de,2015-07-02,27050
Spezial:Weblinksuche_de,2015-07-02,57910
Spezial:Beobachtungsliste_de,2015-07-02,35110
Spécial:Connexion_fr,2015-07-03,11169
Java_(programming_language)_en,2015-07-03,3475
Lali_Espósito_en,2015-07-03,105
Spécial:Connexion_fr,2015-07-03,16141
Barack_Obama_en,2015-07-03,25254
Deadpool_(film)_en,2015-07-03,10671
Facebook_en,2015-07-03,46215
Game_of_Thrones_en,2015-07-03,38163
List_of_Bollywood_films_of_2016_en,2015-07-03,1822
Muhammad_Ali_en,2015-07-03,13648
Portal:Current_events_en,2015-07-03,40894
Suicide_Squad_(film)_en,2015-07-03,15441
United_States_en,2015-07-03,44393
Batman_v_Superman:_Dawn_of_Justice_en,2015-07-03,21567
Captain_America:_Civil_War_en,2015-07-03,15895
David_Bowie_en,2015-07-03,7668
Google_en,2015-07-03,45212
Islamic_State_of_Iraq_and_the_Levant_en,2015-07-03,41413
Java_(programming_language)_en,2015-07-03,4997
Prince_(musician)_en,2015-07-03,9163
Star_Wars_en,2015-07-03,14129
