word_freq_george,word_freq_you,word_freq_your,word_freq_hp,word_freq_free,word_freq_hpl,word_freq_our,word_freq_re,word_freq_edu,word_freq_remove,char_freq_!,class
0.0,1.93,0.96,0.0,0.32,0.0,0.32,0.0,0.0,0.0,0.778,1
0.0,3.47,1.59,0.0,0.14,0.0,0.14,0.0,0.0,0.21,0.37200000000000005,1
0.0,1.36,0.51,0.0,0.06,0.0,1.23,0.06,0.06,0.19,0.276,1
0.0,3.18,0.31,0.0,0.31,0.0,0.63,0.0,0.0,0.31,0.13699999999999998,1
0.0,3.18,0.31,0.0,0.31,0.0,0.63,0.0,0.0,0.31,0.135,1
0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0,1
0.0,3.85,0.64,0.0,0.96,0.0,1.92,0.0,0.0,0.0,0.16399999999999998,1
0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,1
0.0,1.23,2.0,0.0,0.0,0.0,0.61,0.0,0.0,0.3,0.18100000000000002,1
0.0,1.67,0.71,0.0,0.0,0.0,0.19,0.0,0.0,0.38,0.244,1
0.0,3.84,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.462,1
0.0,1.16,0.77,0.0,0.0,0.0,0.38,0.0,0.0,0.25,0.6629999999999999,1
0.0,2.09,1.04,0.0,0.34,0.0,0.34,0.0,0.0,0.0,0.7859999999999999,1
0.0,2.72,0.9,0.0,0.0,0.0,0.9,0.0,0.0,0.9,0.0,1
0.0,3.21,2.85,0.0,5.35,0.0,0.71,0.0,0.0,0.0,0.35700000000000004,1
0.0,1.7,1.27,0.0,1.27,0.0,1.27,0.0,0.0,0.42,0.5720000000000001,1
0.0,1.88,2.83,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.428,1
0.0,0.0,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.975,1
0.0,3.15,0.92,0.0,0.0,0.0,1.11,0.0,0.0,0.18,0.455,1
0.0,2.22,1.91,0.0,0.63,0.0,1.59,0.0,0.0,0.0,0.055,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7290000000000001,1
0.0,2.09,1.57,0.0,0.0,0.0,0.76,0.0,0.0,0.15,0.25,1
0.0,0.0,0.0,0.0,2.94,0.0,2.94,0.0,0.0,0.0,0.809,1
0.0,1.16,1.75,0.0,1.16,0.0,1.16,0.0,0.0,0.0,0.667,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.392,1
0.0,2.09,1.57,0.0,0.0,0.0,0.76,0.0,0.0,0.15,0.25,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.392,1
0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66,0.368,1
0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.35200000000000004,1
0.0,1.3,1.3,0.0,0.65,0.0,0.65,0.0,0.0,0.65,0.091,1
0.0,3.52,0.0,0.0,0.0,0.0,0.0,1.17,0.0,0.0,0.8859999999999999,1
0.0,0.0,0.0,0.0,3.03,0.0,0.0,0.0,0.0,0.0,2.112,1
0.0,3.51,2.7,0.0,0.27,0.0,1.89,0.0,0.0,0.0,0.0,1
0.0,4.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,2.04,0.68,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,5.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5430000000000001,1
0.0,0.0,0.0,0.0,2.94,0.0,2.94,0.0,0.0,0.0,0.873,1
0.0,2.43,2.43,0.0,0.48,0.0,1.46,0.48,0.0,0.48,0.488,1
